status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10158194497441509,"SpaceX launched another rocket on Friday, and this time it tried to land the $6 million nose cone into a giant net attached to a boat. There's no word yet whether the landing was successful. https://cnn.it/2pRQkL2",SpaceX just launched another rocket,video,https://www.facebook.com/cnn/videos/10158194497441509/,https://www.facebook.com/cnn/videos/10158194497441509/,2018-03-30 12:43:49,1719,91,219,1536,64,111,6,1,1
5550296508_10158194464636509,Kentucky teachers are skipping school and protesting a bill that affects their pension plans at the state capitol on Thursday. Teachers in at least nine counties are skipping work. https://cnn.it/2uAwyt2,Kentucky teachers to skip work after lawmakers' 'bait and switch' on pension reform,video,https://www.facebook.com/cnn/videos/10158194464636509/,https://www.facebook.com/cnn/videos/10158194464636509/,2018-03-30 12:31:51,3812,458,780,3202,474,76,24,17,19
5550296508_10158194354071509,"""Maybe it costs a life by exposing someone to bullies. Maybe someone dies in a terrorist attack coordinated on our tools. And still we connect people,"" a top executive wrote in the memo",Mark Zuckerberg disavows controversial Facebook memo,link,https://cnn.it/2GkzBuN,https://www.facebook.com/cnn/posts/10158194354071509,2018-03-30 12:00:18,795,150,143,524,6,82,33,15,135
5550296508_10158194293366509,"""She's only apologizing after a third of her advertisers pulled out,"" says Parkland survivor David Hogg, responding to an apology from Fox News host Laura Ingraham after she mocked his college rejections https://cnn.it/2pOR6Z8",David Hogg rejects Laura Ingraham's apology for mocking tweet,video,https://www.facebook.com/cnn/videos/10158194293366509/,https://www.facebook.com/cnn/videos/10158194293366509/,2018-03-30 11:45:01,21806,5573,8278,16820,3062,186,1268,69,402
5550296508_10158194259446509,The label would warn customers about acrylamide which the state lists as a carcinogen,Coffee may come with a cancer warning label in California,link,https://cnn.it/2uyx8aL,https://www.facebook.com/cnn/posts/10158194259446509,2018-03-30 11:31:04,1248,484,794,741,10,248,200,28,21
5550296508_10158194166406509,"Venezuela's devastating food crisis means wheat flour has become a rare commodity in the country. So for Easter, a faith community across the border in Colombia stepped in.","Venezuelans lacks Communion wafers, so a Colombian church stepped in",link,https://cnn.it/2GExKjL,https://www.facebook.com/cnn/posts/10158194166406509,2018-03-30 11:00:21,3275,271,350,2486,432,58,47,245,7
5550296508_10158194063911509,Some African-American students from Marjory Stoneman Douglas High School say their voices have been ignored by the media https://cnn.it/2IgMd2u,Black students at Marjory Stoneman Douglas High School want to be heard,video,https://www.facebook.com/cnn/videos/10158194063911509/,https://www.facebook.com/cnn/videos/10158194063911509/,2018-03-30 10:30:00,9109,1526,10026,6788,1241,126,348,495,111
5550296508_10158194030381509,"JUST IN: Noor Salman, the widow of the Pulse nightclub gunman, was found not guilty of charges in connection with her husband's 2016 killing spree",Pulse gunman's widow found not guilty,link,https://cnn.it/2GpXrBz,https://www.facebook.com/cnn/posts/10158194030381509,2018-03-30 10:16:06,983,212,139,633,29,73,8,7,233
5550296508_10158193977766509,"""She's only apologizing after a third of her advertisers pulled out,"" the gun control activist said",David Hogg rejects Laura Ingraham's apology for mocking tweet,link,https://cnn.it/2pSn9Yi,https://www.facebook.com/cnn/posts/10158193977766509,2018-03-30 10:00:21,26005,3078,1786,21891,2720,64,1096,28,206
5550296508_10158193889366509,"The eerie pile even includes a handwritten note from a Girl Scout troop in New Jersey, signed by more than a dozen girls. ""May God Forgive,"" they wrote.",The amount of fan mail the Parkland shooter is receiving is unreal,link,https://cnn.it/2J6bmOP,https://www.facebook.com/cnn/posts/10158193889366509,2018-03-30 09:31:03,8351,1711,2180,1749,34,1223,119,390,4836
5550296508_10158193824831509,"SpaceX is launching one of its Falcon 9 rockets and is expected to make an experimental attempt to guide the rocket's nose cone onto a passenger ship outfitted with a giant net

Follow live: https://cnn.it/2IfTyzj",SpaceX launches Falcon 9 rocket,video,https://www.facebook.com/cnn/videos/10158193824831509/,https://www.facebook.com/cnn/videos/10158193824831509/,2018-03-30 09:12:20,8006,2316,1842,6390,934,610,38,13,21
5550296508_10158193793131509,"Educators, who are furious over the pension issue, called out of work in protest",Kentucky teachers to skip work after 'bait and switch' on pension reform,link,https://cnn.it/2GINvpZ,https://www.facebook.com/cnn/posts/10158193793131509,2018-03-30 08:59:03,4256,252,931,3511,339,205,27,61,113
5550296508_10158193695056509,"""What kind of dumbass colleges don't want you?"" Alisyn Camerota asks Parkland survivor David Hogg, who says he was rejected from four universities https://cnn.it/2GjGLiQ",David Hogg talks about college rejections,video,https://www.facebook.com/cnn/videos/10158193695056509/,https://www.facebook.com/cnn/videos/10158193695056509/,2018-03-30 08:30:57,18884,8105,4881,11499,2525,412,4018,153,277
5550296508_10158193586596509,Officers said it was the first case they had encountered where drones were used to smuggle goods,China says gang used drones to smuggle smartphones worth $80 million,link,https://cnn.it/2GjA6VP,https://www.facebook.com/cnn/posts/10158193586596509,2018-03-30 07:59:04,681,70,195,474,6,97,96,3,5
5550296508_10158193522016509,"""I actually agree now that he was a domestic terrorist for what he did to us,"" says police Chief Brian Manley",The police chief has now labeled the Austin bomber a domestic terrorist,link,https://cnn.it/2Gpx0f0,https://www.facebook.com/cnn/posts/10158193522016509,2018-03-30 07:30:05,16782,867,3714,14821,1460,358,57,35,51
5550296508_10158193455731509,"""He forced himself on me"": United Nations employee accuses top official of sexual assault and criticizes investigation that cleared him","Top United Nations official 'forced himself on me,' employee says",link,https://cnn.it/2GIv7gS,https://www.facebook.com/cnn/posts/10158193455731509,2018-03-30 07:00:03,1172,104,121,652,4,154,15,62,285
